Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.031442925,0.7872013,40.076233,40.168503,13.039624,3.9179933,-5.98733,1.2471042,106.11437,160.00197,-813.9881,6.1613307,104.36689,161.67845,-809.4357,-2.4249983,1.9013448,12.760193,-10.658425,-0.025804302,0.529797,2.5810962,-2.4639654,-0.42818934,0.22718708,0.16775289,-2.125037,-36.356498042614234,-35.33542779875965,-37.769602362453085,124000,524000,0,1979.8064460800088,40.1411446199927,3.5521697749500163,2023.4997604749515,60692.78737239003,30
0.08660708,0.8032838,43.19918,43.242992,19.466026,7.896947,91.45648,-97.381584,193.61255,87.554695,-1227.1725,-92.52271,191.45088,89.60467,-1222.5505,-1.9074132,2.321901,16.236223,-9.786096,-0.045397025,0.62418616,2.5881984,-2.9397457,-0.44869086,0.24607438,0.29190665,-2.2044954,-40.613867351252765,-41.541585176172056,-38.31365863789292,128000,528000,0,1972.0456068130152,46.04129035602091,3.5702754499798175,2021.657172619016,62719.93124176709,31
0.34662354,0.7911385,47.198517,47.25778,22.407124,9.770092,57.944366,-62.869747,176.94305,147.3151,-1223.0715,-59.974033,174.87064,148.18704,-1221.4225,-2.0955825,2.1797993,8.661625,-10.220281,-0.017400373,0.59260976,2.3406694,-2.8137698,-0.43601248,0.2507058,0.12911469,-2.2437425,-34.68639019814711,-35.39085816524115,-35.178096454471614,132000,532000,0,1975.4694304209843,51.52819316199748,4.582027465046849,2031.5796510480286,64746.17196692906,32
0.2028132,0.79175913,41.014046,41.061455,18.007778,7.729204,23.544506,-29.559315,150.24658,112.59499,-1089.0664,-24.160614,149.35574,114.47467,-1081.36,-2.2222872,2.03726,19.528845,-10.895691,-0.04355171,0.562832,3.0196073,-3.1555567,-0.44154686,0.24124292,0.21749884,-2.2844074,-37.69770912859476,-38.47531496360609,-37.83433090242205,136000,536000,0,1971.3820574540005,46.18980530000408,4.232584124983987,2021.8044468789885,66768.45926277204,33
0.13670753,0.80239546,37.89605,37.95513,19.417023,5.967615,78.64064,-84.48226,164.17213,100.22047,-921.83386,-78.75948,162.96907,103.25947,-925.0486,-1.8009566,2.3818579,20.762669,-11.450064,-0.045312304,0.63543177,3.0615723,-2.8491895,-0.47274673,0.25866666,0.23328337,-2.1654913,-40.391430773746,-39.01671243599558,-34.07257317651023,140000,540000,0,1974.487914634985,46.672532452008454,4.005159342021216,2025.1656064290146,68797.6657518281,34
0.2947277,0.8015051,39.75389,39.81713,15.904199,5.320809,38.06406,-43.62301,188.2172,139.23804,-1141.2167,-37.86822,186.21413,140.94058,-1139.9952,-2.3274286,2.0168717,8.963276,-11.180994,-0.008686163,0.54626137,2.394927,-2.3516076,-0.43341804,0.24585885,0.18331134,-2.1333358,-37.774263848092026,-36.45845049468835,-34.94349370103451,144000,544000,0,1969.7019966139924,50.71355068698176,4.0458407970145345,2024.4613880979887,70820.20793077203,35
0.05593752,0.79431313,38.075546,38.12873,16.184124,5.606353,18.11286,-22.953438,131.32668,118.69106,-1098.0616,-18.366076,130.0006,120.466194,-1106.5028,-2.2267473,2.0921447,16.593447,-12.575512,-0.03953765,0.56510174,2.8129632,-2.8080456,-0.43704215,0.24312747,0.23959547,-2.0696452,-41.46066773528019,-38.39553345801265,-34.10388528058839,148000,548000,0,1987.4255399889953,48.796256345987786,4.475604664068669,2040.6974009990518,72863.61054402911,36
0.32758266,0.80477685,40.12885,40.19207,16.616638,5.780926,27.997103,-33.17468,138.53374,148.97273,-1221.6259,-27.267164,136.58658,151.12311,-1222.5199,-2.0968177,2.1295202,18.417017,-10.685677,-0.037117645,0.581272,2.5379682,-3.1603215,-0.46079016,0.24829832,0.16365616,-2.196249,-35.824570497073836,-36.75884823704023,-31.615085274100526,152000,552000,0,1980.7475545750058,51.500460767012555,4.70200207902235,2036.9500174210407,74894.2307524692,37
0.118808284,0.7947826,39.757095,39.80324,24.389511,12.033476,55.75545,-59.91108,146.85995,131.8323,-1102.0214,-57.32349,147.69276,133.41617,-1111.4991,-1.9485732,2.2250388,16.50656,-10.539246,-0.020373138,0.61188567,2.5950298,-3.2014425,-0.46044877,0.2563371,0.2726562,-2.0810857,-40.00467296913903,-38.519404085163885,-35.44522364618286,156000,556000,0,1903.8634523749934,45.17085775799933,3.9866156080097426,1953.0209257410024,76844.79772580018,38
0.06545425,0.78386223,38.2109,38.261024,14.854227,5.1445565,31.356495,-36.51202,143.12535,141.62155,-1123.7212,-31.153303,141.20421,143.03554,-1122.9565,-2.2315285,2.0874252,19.740128,-11.14629,-0.023054156,0.56042075,3.0409124,-3.1726203,-0.44304857,0.24460757,0.1829136,-2.092331,-32.21370155013865,-29.147605597273337,-35.63452339415187,160000,560000,0,1817.521269169025,42.71859998299624,3.795059373980621,1864.0349285260017,78712.35052169622,39
0.11541577,0.78964937,38.249664,38.30608,11.068066,4.43457,-8.95919,4.030055,135.45583,136.08966,-1173.813,9.304445,134.02585,138.85493,-1163.4219,-2.3931885,1.9552318,17.872053,-10.915061,-0.0059393947,0.53341097,2.9434392,-2.723336,-0.4237086,0.24049136,0.13836,-2.1393306,-36.55589736313261,-38.33731380396791,-34.11865436201894,164000,564000,0,1765.7605013260036,46.235807970981114,3.5493638530024327,1815.5456731499871,80526.9754872402,40
